paragraph_id,sentence_id,source_file,text_cree,text_en,label,label_raw,footnote_applies,rationale,footnote_en
0,0,pct-01-ancient-life-the-sun-dance-louis-moosomin,"kayâs ayîsiyiniwak mistahi kî-kitimâkisiwak, oskac ôtê ê-ayâcik, nama kêkway ohci kî-pakitinikôwisiwak.","The people of old were in a piteous state, when first they lived here on earth. The Higher Powers had put them down here with nothing at all.",literal,literal,False,No figurative language detected; the description of the people's state and divine placement is literal.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,2,pct-01-ancient-life-the-sun-dance-louis-moosomin,nama kêkway ayiwinisa ohci ayâwak; nama kêkway môhkomân.,"They had no clothes, no knives.",literal,literal,False,Plain statement of lacking possessions; no non-literal expression.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,3,pct-01-ancient-life-the-sun-dance-louis-moosomin,nayêstaw oskan kî-omôhkomâniwak.,All they had for a knife was a bone.,literal,literal,False,Literal statement about using a bone as a knife.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,4,pct-01-ancient-life-the-sun-dance-louis-moosomin,nama kêkway ohci ayâwak iskotêw.,From the beginning they had no fire.,literal,literal,False,Straightforward statement of having no fire from the beginning.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,5,pct-01-ancient-life-the-sun-dance-louis-moosomin,"acosis piko kî-ohci-nipahêwak pisiskiwa, oskana ê-kikamohtâcik wîpisisiwâhk.","With merely an arrow they killed animals, fastening bones to their arrows.",literal,literal,False,Describes hunting method literally.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,6,pct-01-ancient-life-the-sun-dance-louis-moosomin,nama kêkway; kî-kitimâkisiwak.,They had nothing; they were in a piteous state.,literal,literal,False,Reiterates their lack and pitiful state in literal terms.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,7,pct-01-ancient-life-the-sun-dance-louis-moosomin,"kîtahtawê iskotêw kî-osîhtamâsôwak, ômisi ê-tôtahkik; ê-kisitêyik, piyisk êkota kî-otinamwak iskotêw.","Presently they made fire for themselves, doing it like this; when it was hot, they got fire from it.",literal,literal,False,The footnote about not recording the gesture does not describe figurative language; the sentence itself is a literal account of fire-making.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,8,pct-01-ancient-life-the-sun-dance-louis-moosomin,"piyisk asiniya ê-pakamahwâcik, ê-wâsaskotêpayiyit, êkotê êkwa kî-ohtinamwak iskotêw ayîsiyiniwak.","Also they pounded a stone, and when it sent out sparks, from this, too, the people got fire.",literal,literal,False,The footnote suggesting a verb form does not describe figurative language; the sentence literally describes obtaining fire from sparks.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,9,pct-01-ancient-life-the-sun-dance-louis-moosomin,êkwa asiskiy kî-otaskihkowak.,Their pots and kettles were of earth.,literal,literal,False,Literal statement about materials of pots.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
0,10,pct-01-ancient-life-the-sun-dance-louis-moosomin,"mîna kî-wâtihkêwak, pahkêkin ê-asiwatâcik, asiniya ê-kisâpiskiswâcik; êwako ohci wiyâs ê-kîsisahkik.","Also, they would dig a hole and put in a hide, and heat some stones; in this way they cooked meat.",literal,literal,False,Literal description of cooking method.,"[1] LB: Unfortunately I did not record the gesture.
[2] LB: Probably kîh-ohtinamwak ."
