Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
yasinon wu86 ki'tcigami. Wabos namatapit ijini'katatug ||| And this said Nanabushu : "Therefore such shall be the look of the hare in the summer-time." l
wo8o ki'tcigami. Mldac a'pana mojag 48iwidi klaVinama- ||| Now, therefore, were they then in possession of fire. So now afterwards, while he lived with his grandmother, never still was this sea. Seated-Hare was perhaps the name of this sea, for it was always his custom to go frequently over there and sit. And this he said to his grandmother : " Now, my grandmother, it is now long enough that I have been a hare." And so at that place there must have been a promontory jutting (out into the sea), and over there on the top was where he always sat. And now such was the way that rock looked. And this was what he said: "Seated-Hare shall these people call it."
tapit. Oo'widac ogi'i'nan Ini/u o'kumisan : "Ambasano, ||| So thereupon he now became a human being. No longer was he a child. This he said to his grandmother : "Do you know who I am?"
no'ko, ml-f*11 mini'k kawabonsoyan." Mldac kis>rwidi ki'tci- ||| "No," he was told by his grandmother.
Mldac ka-i-cinagwa'k 48i/u asin. Mldac ka'i-'kitut : "Wabos ||| "I am indeed Nanabushu." This he said to his grand mother. "I wonder if indeed I am an only (child)!" he said to his grandmother.
namadabit uga'i'cini'katanawa oguu anicinabag." ||| "Yes," he was told. "Truly are you but an only (child)," he was told by his grandmother.
Anlc misa iu clgwa kra-nicinapawit. Kawm kayab1 kra'binotci'rwisl. Wircr ugri'nan lni/u o^kumisan : "Kigi5 'kanimina ayawiyan ?" ||| And this he said to her: "I wish that you would please tell me," he said to his grandmother. "I wonder if I may have had a father!"
"Kawm," ogri'gon mi/u o'kumisan. ||| "Yes," he was told. "They could not see whoever he was that was your father," he was told by his grand mother. And this he was told by his grandmother: "Dead
"Ninisa Nanabucu nintau." O^o oglinan Ini/u o'kumisan : "Kuniga mlgu'i^11 ajipajiguwanan !" ogrrnari Ini/u o^kurnisan. ||| is she who was your mother : that is all I can tell you. Not would I hide it from you."
"Aye8," ogri'gon ; "mlgu'i*11 ajipajiguyan," ogri'gon Ini/u o'kumisan. ||| And this to her said Nanabushu : "How could it pos sibly be that I should be the only (child)? You must be hiding it from me," he said to his grandmother. And this now he said : " Why do you behave in such a way that you should keep from me that which has happened to us? In spite of all that, not am I ignorant of what has happened to us. In existence somewhere I am sure are my brothers. Please do convey to me the knowledge of what happened to us."
O^o-widec ogri'nan : "Ambasano manu wlndamawicin," ogrrnan ini/u o'kumisan. "Kuniga ningi'O'O'simitug !" ||| Thereupon frightened became the old woman. So this she said to her grandson: "Well, I will tell you about it Of a truth were you not alone at the time when you (and they) were born. As true as I speak,1 this was what happened to you (and them) : you (and they) killed your mother at the time when you (and they) were born. Verily, had I not carried out the purpose 3 of my mind, I could never have reared you."
"Aye8," ogri'gon ; "kawln kmagusisl awagwan Ia8a/u ka'a'O'siyan," ogl'i'gon Ini/u o'kumisan. O8owidac ogi'i'gon ||| And this he said to his grandmother: "Oh, so that was the sort of thing that happened to me when I was born ! Why, it was not I who killed my mother." Where upon he there made up his mind (what to do). "There fore will I go to see them," he thought, "those brothers of mine." Accordingly, then was the time he said to his grandmother: "Therefore will I go to see him who made me an orphan."
Ini/u o'kumisan : "Kinibu 'af:au ogiyamban : misagui'r11 ajiwlndamonan. Kawin kitagatarnosinon." ||| "Don't!" in vain was he told by his grandmother. "What is the reason of your undertaking that you should go and seek for him ?"
O^'O'widac ogri'nan 'a8a/u Nanabucu : "Anln kakicinagwa'k kapaciguyan ? kagatamawiyan," ogri'nan Ini/u cVkumisan. Mldac caylgwa kri-'kitut: "Anln wandci-i-citcigiiyan 'i^i711 katamawiyan 48iwisa ka'ijiwabisiyang? Kawin po'tc niwanandazin i'i'wisa ka'ijiwabisiyang. Ayawagisa nintinandam nintcikiwayang. Mano taga wlndamawicin i'i'wisa ka'i'jiwabisiyang." ||| "Nay," he said to her, "rather am I determined to do
O'o'widac ogri'nan Ini/u o'kumisan : "On, minangwana lij:i/u ka'i jiwabisiyan Ci8i/u kamgiyan ! Anic, kawin nm ningmisasi casa/u ninga." Mldac i'i'ma kl'i'nandank. "Intawa ningatawiwabamag," ki'i'nandam ; "Igi/u nitcikiwanyag." Na, midac a'p! kri'nat lni/u o'kumisan. "Tndawa ningatawiwabama laca/u ka'klwaci'i't." ||| it." So thereupon he then set to work making some arrows. And when he was prepared, he then set out; it was off in this direction, straight toward the south, where he started for. Of course he knew that at the place was abiding that brother of his. So when he felt that he was nearing yonder place where they lived, then in four different places he hid his arrows. And when over there he had arrived, he then went into (the place) where the other was. And this was what Nanabushu was told: "And so you have come looking for me?"
"Kagu7!" utanugri'gon lni/u o'kumisan. "Anln ka'u-ndci-i'cictcigayan 'iY11 laca/u kltcikiwanzi i'i'wisa ka*u'ndcinantopanltawatupan ?" "Kawin," ogri*nan-, "potc nlwrijictciga." Mldac a'pi ||| "Yes," he said to him.
kimadci'tat lisi/u ubi'kwa'kon krirji'tot. Mldac ka*i*jikijiltat, mldac a' pi cigwa klmadcat ; mldac owidi kwaya'k cawanung ka'i'jimadcat. Anlc oglki'kaniman iwidi ayanit Ini/u wltcikiwanyan. A'pi'i'dac rrwidi pajwandank iwidi andanit mwingidac ugi'a'santcigtinan Ini/u ublkwa'kon. Mldac a' pi i*i*widi ka*i*ji'o*tisat, mldac ka'i'jiplndigawat. 'OVwidac ogri'gon Nanabucu : "Mlsa 48i/u pinandopan^tawiyan ?" ||| "Then we might as well now begin fighting with each other."
"Aye8," ogri'nan. ||| So thereupon started they to fight with each other, and then soon were they shooting at each other. While Nanabushu was being forced back, he came to where his arrows were, there where he had concealed them. Then in turn back from this place he drove the other, even all the way to the place where the other lived he drove him. Thereupon back from that place in turn was he chased by the other, and again back to where he had concealed his arrows when on his way hither was he driven. Then again he tried in vain to drive him back, but only a little distance he made him retrace his way. Whereupon in turn from that place was he driven back, once more he came to the place of his arrows. And so there he thought : "It is possible that I may be vanquished." Truly, very few were the arrows he had ; for now very few they were. Whereupon he now began weeping, for this he thought: "It is like enough that I shall be killed," (thus) he thought.
"Anlc mlsa cigwa tcimadci'kutatiyang." ||| Thereupon came a Weasel, by whom he was addressed, saying: "What is the matter with you? It seems as if you have been crying, Nanabushu," he was told by the
Midac ka'pi'i'jikanonigut lni/u cingusan : "Anin andiyan? kwandigukuca kima/u, Nanabucu," ugrrgon lni/u cingusan. ||| Weasel. "Nothing (harmful) is going to happen to you. Listen ! (and) I will advise you what you are to do," he was told by the Weasel. "Now, right at yonder place do you shoot," he was told by the Weasel. "Shoot at the wrap (of his hair-knot)."
cictcigayan," ugri'gon Ini/u cingusan. "Nackaguta rrma ina-a/n," ugligon mi/u cingusan ; "pimutamawi iu osagipanwan." ||| Thereupon was the time that Nanabushu whooped. Once as he began driving his brother back, he then shot at the wrap (of his hair-knot). Thereupon the other fell forward. Then to him ran Nanabushu, and this he said to him: "Please die!"
O'O'widac ogri'gon !ni/u wltcikiwanyan : "Kagatsa kitiniga'a* 'asa/u l pitcinag 'aVu kanipimadisit." Midac ka'ijimawinit, ml Ii9i/u kamawimat anicinabac. Kawin anugri*nandanz! 'i^Visa tcinisint. ||| And this he was told by his brother: "Verily, you are doing wrong to them : who in the future are to live." Thereupon he wept, as it was for these people he wept. Not was he willing that he should be killed.
